Calories,Protein,Sodium,Saturated Fat,Dietary Fiber,Iron,Vitamin B12,Cholesterol,URL,Brand,Product
290,19 g,500 mg,7 g,3 g,4.9mg,N/A,0 mg,https://www.beyondmeat.com/en-US/products/beyond-meatballs/italian-style,Beyond,Beyond Meatballs Italian Style
140,12g,320mg,1g,1g,2.8mg,N/A,0g,https://www.beyondmeat.com/en-US/products/beyond-sun-sausage/pesto,Beyond,Beyond Sun Sausage Pesto
140,12g,320mg,1g,1g,2.6mg,N/A,0g,https://www.beyondmeat.com/en-US/products/beyond-sun-sausage/pineapple-jalapeno,Beyond,Beyond Sun Sausage Pineapple Jalapeno
170,21g,300mg,1g,2g,1.8mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-steak,Beyond,Beyond Steak
200,20g,360mg,1g,1g,1.5mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-steak/seasoned-korean-bbq-style,Beyond,Beyond Steak Seasoned Korean Bbq Style
170,20g,360mg,1g,1g,1.5mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-steak/seasoned-chimichurri,Beyond,Beyond Steak Seasoned Chimichurri
160,12g,260mg,3g,<1g,2.8mg,1.8mcg,0mg,https://www.beyondmeat.com/en-US/products/beyond-stack-burger/beyond-stack-burger,Beyond,Beyond Stack Burger
230,14g,500mg,1.5g,1g,2.1mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-chicken-nuggets/beyond-chicken-nuggets,Beyond,Beyond Chicken Nuggets
180,11g,270mg,4.5g,2g,2.8mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-breakfast-sausage/classic-patties,Beyond,Beyond Breakfast Sausage Classic Patties
180,11g,270mg,4.5g,2g,2.8mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-breakfast-sausage/spicy-patties,Beyond,Beyond Breakfast Sausage Spicy Patties
130,8g,240mg,3g,2g,1.8mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-breakfast-sausage/classic-links,Beyond,Beyond Breakfast Sausage Classic Links
230,21g,310mg,2g,2g,4mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/the-beyond-burger/beyond-burger,Beyond,Beyond Burger
230,21g,310mg,2g,2g,4mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-beef/ground,Beyond,Beyond Beef Ground
210,17g,480mg,2g,1g,3.8mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-sausage/hot-italian,Beyond,Beyond Sausage Hot Italian
210,17g,460mg,2g,1g,3.5mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-sausage/brat-original,Beyond,Beyond Sausage Brat Original
180,16g,600mg,4.5g,1g,3.5mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-sausage/brat,Beyond,Beyond Sausage Brat
180,16g,460mg,4.5g,1g,3.5mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-sausage/sweet-italian,Beyond,Beyond Sausage Sweet Italian
130,21g,340mg,0.5g,1g,2.3mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-chicken/beyond-chicken-pieces,Beyond,Beyond Chicken Pieces
130,21g,340mg,0.5g,1g,2.3mg,N/A,0mg,https://www.beyondmeat.com/en-US/products/beyond-chicken/lemon-herb,Beyond,Beyond Chicken Lemon Herb
230,19g,370mg,6g,5g,4.2mg,130%,0mg,https://faq.impossiblefoods.com/hc/en-us/articles/360018939274-What-are-the-nutrition-facts-for-Impossible-Beef-Meat-From-Plants,Impossible Foods,Impossible Beef
170,21g,420mg,0.5g,3g,3.1mg,80%,0mg,https://faq.impossiblefoods.com/hc/en-us/articles/30387467337879-What-are-the-nutrition-facts-for-Impossible-Steak-Bites-Meat-From-Plants,Impossible Foods,Impossible Steak Bites
120,12g,430mg,2.5g,0g,1mg,50%,0mg,https://faq.impossiblefoods.com/hc/en-us/articles/19576943205015-What-are-the-nutrition-facts-for-Impossible-Beef-Hot-Dogs-Meat-From-Plants,Impossible Foods,Impossible Beef Hot Dogs
190,9g,470mg,2g,1g,0.9mg,40%,0mg,https://faq.impossiblefoods.com/hc/en-us/articles/26714794517399-What-are-the-nutrition-facts-for-Impossible-Corn-Dogs-Meat-From-Plants,Impossible Foods,Impossible Corn Dogs
130,7g,380mg,4g,1g,1.4mg,50%,0mg,https://faq.impossiblefoods.com/hc/en-us/articles/1500011067082-What-are-the-nutrition-facts-for-Impossible-Sausage-Meat-From-Plants,Impossible Foods,Impossible Savory Sausage
130,7g,370mg,4g,1g,1.5mg,50%,0mg,https://faq.impossiblefoods.com/hc/en-us/articles/1500011067082-What-are-the-nutrition-facts-for-Impossible-Sausage-Meat-From-Plants,Impossible Foods,Impossible Spicy Sausage
